time,X_value,Y_value,Z_value
Started:,May 05 2020,10:33:44:486, 
0.0086,-0.15465,0.20775,0.14619
0.0086,-0.28820,0.07212,0.18713
0.0086,-0.10968,0.07290,0.07055
0.0086,0.06159,0.14968,-0.03443
0.0269,0.28837,0.22680,-0.06444
0.0269,0.24512,0.23908,-0.21451
0.0269,0.09144,0.27429,-0.07735
0.0270,-0.24146,0.22552,0.09144
0.0468,-0.31481,0.27168,0.14919
0.0468,-0.31136,0.35741,0.15094
0.0468,-0.01718,-0.08695,-0.01581
0.0468,-0.26449,-0.23020,0.00669
0.0668,-0.72373,0.01095,0.25391
0.0668,-0.32851,-0.04037,0.26099
0.0668,0.13246,-0.24713,0.22389
0.0668,0.15921,-0.04210,0.15851
0.0871,0.13598,0.18220,0.04640
0.0871,0.23388,0.22860,-0.08113
0.0871,0.39963,0.15526,-0.01227
0.0872,0.30614,0.20942,-0.09675
0.1071,0.09794,0.28760,-0.06613
0.1071,0.04639,0.34712,-0.02834
0.1071,-0.04748,0.31079,-0.10980
0.1071,-0.07807,0.33560,-0.04887
0.1267,-0.08219,0.23100,0.01152
0.1267,-0.03233,0.19959,0.09889
0.1267,0.07764,0.14704,0.13892
0.1267,0.16044,0.11050,0.13907
0.1473,0.34084,0.01542,0.10056
0.1473,0.41852,0.00607,0.10846
0.1473,0.42823,-0.00575,0.08080
0.1473,0.40411,0.04211,0.06168
0.1666,0.39528,0.12508,0.06565
0.1666,0.47894,0.13850,0.02035
0.1666,0.41442,0.18368,0.01352
0.1666,0.35534,0.23640,-0.04467
0.1862,0.28138,0.31391,-0.01253
0.1862,0.19677,0.27281,-0.07025
0.1862,0.18480,0.36378,-0.06708
0.1862,0.14034,0.23688,-0.02454
0.2065,0.11669,0.20964,-0.00228
0.2065,-0.00478,0.22541,0.03198
0.2065,-0.17186,0.21668,0.09951
0.2065,-0.13024,0.23653,0.17571
0.2263,-0.17309,0.20163,0.12938
0.2263,-0.16773,0.22912,0.11522
0.2263,-0.09814,0.22879,0.08988
0.2263,0.00144,0.28306,0.07703
0.2462,0.07811,0.23656,0.18648
0.2463,0.14381,0.24001,0.16438
0.2463,0.09971,0.20619,0.15853
0.2463,0.04966,0.26431,0.15617
0.2660,-0.00030,0.28575,0.09872
0.2660,0.13144,0.24365,0.14133
0.2660,0.12817,0.19829,0.09939
0.2660,0.14016,0.14856,0.08685
0.2860,0.15115,0.14387,0.05072
0.2860,0.18710,0.08461,-0.08618
0.2860,0.27291,0.05664,-0.03140
0.2860,0.39722,0.13722,-0.10592
0.3061,0.47700,0.09761,-0.11804
0.3061,0.46958,0.07594,-0.13128
0.3061,0.54003,0.01302,-0.07523
0.3061,0.49363,0.07229,-0.08690
0.3259,0.45904,-0.00259,0.00194
0.3259,0.31736,0.05066,0.08493
0.3259,0.17178,0.09133,0.10778
0.3259,-0.04452,0.11269,0.09671
0.3496,-0.14563,0.18757,0.11956
0.3496,-0.23568,0.24618,0.10835
0.3496,-0.29626,0.20435,0.11129
0.3496,-0.32588,0.25011,0.12797
0.3656,-0.33696,0.18064,-0.00453
0.3656,-0.31562,0.21832,-0.07211
0.3656,-0.16174,0.25993,-0.08390
0.3656,0.02886,0.25504,-0.22556
0.3856,0.36341,0.32651,-0.22776
0.3856,0.42163,0.26833,-0.45253
0.3856,0.57314,0.30362,-0.45738
0.3856,0.74170,0.32370,-0.52375
0.4052,0.89161,0.23969,-0.57452
0.4052,1.05801,0.17278,-0.59187
0.4052,1.17251,0.05025,-0.54289
0.4052,1.31127,0.14029,-0.59704
0.4252,1.33323,0.03305,-0.48041
0.4252,1.27402,-0.10043,-0.46306
0.4252,1.12630,-0.11689,-0.34004
0.4252,0.85820,-0.15337,-0.22115
0.4450,0.67517,-0.14927,-0.13627
0.4450,0.46375,-0.00080,-0.03133
0.4450,0.23135,0.11534,-0.01089
0.4450,0.16100,0.13843,0.06668
0.4668,0.02127,0.09987,0.09007
0.4668,-0.08992,0.10021,0.19909
0.4668,-0.10529,0.10871,0.13900
0.4668,-0.08911,0.03744,0.03345
0.4851,-0.09135,0.02554,0.13455
0.4851,-0.00373,-0.04780,0.10535
0.4851,0.02767,-0.05271,0.09347
0.4851,0.00191,-0.07165,0.16571
0.5048,-0.06125,-0.16380,0.27736
0.5048,0.08556,-0.09472,0.30243
0.5048,0.18862,-0.19230,0.15550
0.5048,0.25433,-0.21145,0.23846
0.5248,0.31870,-0.22567,0.18483
0.5248,0.46234,-0.21037,0.19389
0.5248,0.51585,-0.20986,0.15393
0.5248,0.67761,-0.11198,0.04854
0.5446,0.73272,0.06080,0.04621
0.5446,0.91991,0.19712,-0.02448
0.5446,0.66208,0.22579,-0.26780
0.5446,0.57219,0.27830,-0.17416
0.5648,0.54314,0.24769,-0.25143
0.5648,0.51898,0.22126,-0.23316
0.5648,0.44250,0.17500,-0.30393
0.5648,0.38440,0.27276,-0.37006
0.5847,0.42579,-0.01024,-0.25139
0.5847,0.48173,-0.19128,-0.06903
0.5847,0.47820,-0.34533,-0.06452
0.5847,0.46775,-0.28590,0.00949
0.6070,0.43088,-0.35776,-0.03224
0.6070,0.46763,-0.39557,-0.03959
0.6070,0.23033,-0.37780,0.02045
0.6070,0.03420,-0.32044,0.25074
0.6243,-0.20962,-0.17293,0.29602
0.6244,-0.38976,0.05956,0.36719
0.6244,-0.56488,0.02798,0.47716
0.6244,-0.64195,0.18040,0.59835
0.6440,-0.75852,0.19092,0.49083
0.6440,-0.74082,0.19115,0.48289
0.6440,-0.63518,0.20373,0.46545
0.6440,-0.39929,0.19877,0.34486
0.6639,-0.07573,0.23918,-0.03192
0.6639,0.36935,0.05086,-0.00586
0.6639,0.64408,-0.21962,0.17184
0.6639,0.77435,-0.47890,0.09152
0.6838,0.55850,-0.57792,0.13351
0.6838,0.37246,-0.64419,0.03391
0.6838,0.20699,-0.58047,-0.03269
0.6838,0.21141,-0.44358,-0.18454
0.7036,0.21246,-0.38007,-0.27361
0.7036,0.20502,-0.21284,-0.23557
0.7036,0.06090,-0.14543,-0.19793
0.7036,-0.06786,-0.01293,-0.18489
0.7241,-0.32871,0.07172,-0.17153
0.7241,-0.43988,0.24365,-0.10655
0.7241,-0.43555,0.31058,-0.18064
0.7241,-0.26630,0.21498,-0.24295
0.7435,0.29002,0.01067,-0.35142
0.7435,0.57979,0.10698,-0.55154
0.7435,1.14043,0.09229,-0.96181
0.7435,1.84934,0.01111,-1.36442
0.7633,2.27953,-0.13375,-1.31842
0.7633,2.31615,-0.15576,-1.32714
0.7633,1.92055,-0.11916,-1.30850
0.7633,1.06682,-0.08671,-1.09764
0.7832,0.41442,0.13324,-0.91016
0.7832,-0.13066,0.22928,-0.81636
0.7832,-0.51551,0.31422,-0.48873
0.7834,-0.90653,0.30186,-0.24756
0.8033,-1.27893,0.20250,-0.10318
0.8033,-1.54113,0.09578,0.36943
0.8033,-1.73026,-0.02252,0.62735
0.8033,-1.85178,0.04280,0.95957
0.8232,-1.76301,0.18311,1.19804
0.8233,-1.54117,0.34693,1.35986
0.8233,-1.61454,0.55108,1.20957
0.8233,-1.60070,0.48546,1.32716
0.8431,-1.64079,0.35390,1.31783
0.8431,-1.95959,0.23899,1.43135
0.8431,-2.28790,0.36178,1.40153
0.8432,-2.35730,0.56128,1.37554
0.8633,-2.32569,0.56109,1.44213
0.8633,-2.19816,0.50691,1.43809
0.8633,-1.89152,0.42431,1.45037
0.8633,-1.57241,0.31238,1.42822
0.8830,-1.31812,0.38735,1.15733
0.8830,-0.92009,0.25623,0.85972
0.8830,-0.33130,0.10027,0.46602
0.8830,0.32420,-0.21679,0.04571
0.9027,0.77385,-0.30150,-0.26654
0.9027,1.00465,-0.19438,-0.68249
0.9027,1.19106,0.02759,-1.05010
0.9027,1.33263,0.02606,-1.23788
0.9231,1.16480,0.22629,-1.26090
0.9231,0.86389,0.31467,-1.09337
0.9231,0.49757,0.26105,-0.88330
0.9231,0.21472,0.35252,-0.84380
0.9426,-0.10192,0.49351,-0.64639
0.9426,-0.29059,0.59906,-0.44226
0.9426,-0.57677,0.62878,-0.14809
0.9426,-0.68164,0.60752,0.06938
0.9626,-0.76745,0.57126,0.25413
0.9626,-0.63272,0.36607,0.46941
0.9626,-0.48081,0.24278,0.55262
0.9626,-0.25631,0.24687,0.66232
0.9824,0.01680,0.23332,0.81373
0.9825,0.16187,0.19898,0.85100
0.9825,0.26756,0.19130,0.86498
0.9825,0.30568,0.16857,0.91102
1.0023,0.31140,0.12693,0.94384
1.0023,0.29203,0.07981,0.95410
1.0023,0.27999,-0.00788,1.03585
1.0023,0.27941,-0.18455,1.13837
1.0219,0.15238,-0.14427,1.13130
1.0219,-0.00750,0.01193,0.94945
1.0219,0.05355,0.09069,0.66761
1.0219,0.08362,0.02364,0.56305
1.0419,-0.06741,0.22974,0.42474
1.0419,-0.17025,0.35918,0.31278
1.0419,-0.26548,0.42060,0.34883
1.0419,-0.40339,0.48984,0.50560
1.0616,-0.70258,0.56902,0.61663
1.0617,-0.80730,0.54755,0.59069
1.0617,-0.88428,0.43162,0.65225
1.0617,-0.96135,0.36913,0.76674
1.0823,-1.04917,0.35678,0.82234
1.0823,-0.89776,0.29535,1.05496
1.0823,-0.74499,0.23122,1.12310
1.0823,-0.67125,0.25720,1.11806
1.1043,-0.60485,0.27419,1.16148
1.1043,-0.54935,0.19468,1.25729
1.1043,-0.78409,0.31436,1.37228
1.1043,-0.93397,0.53764,1.25992
1.1215,-0.80563,0.52061,1.28292
1.1215,-1.60354,1.39058,0.99610
1.1215,-1.35104,1.79180,0.25556
1.1215,0.10988,1.08315,0.29020
1.1414,0.96129,1.07108,0.02483
1.1414,1.83201,1.64650,-0.56108
1.1414,1.95902,1.54694,-0.90616
1.1414,2.22127,1.42345,-1.04639
1.1612,2.29790,1.10949,-0.91297
1.1612,2.47185,0.96076,-0.93483
1.1612,2.60301,0.73673,-0.82504
1.1612,2.67132,0.48008,-0.81909
1.1814,2.65654,0.40995,-0.82090
1.1814,2.54112,0.33341,-0.84662
1.1814,2.38146,0.31405,-0.89366
1.1814,2.22341,0.36380,-0.87119
1.2014,2.07683,0.39216,-0.95331
1.2014,1.90848,0.46154,-0.92354
1.2014,1.72641,0.44946,-0.89092
1.2014,1.61782,0.42216,-0.81648
1.2219,1.47298,0.39256,-0.71335
1.2219,1.37898,0.41779,-0.67966
1.2219,1.25242,0.29956,-0.54981
1.2219,1.10280,0.21582,-0.48823
1.2409,1.07154,0.13631,-0.41384
1.2409,0.94189,0.15780,-0.24466
1.2409,0.84085,0.21873,-0.26734
1.2409,0.63961,0.19692,-0.14309
1.2608,0.44594,0.17722,-0.12551
1.2608,0.23900,0.09820,-0.10296
1.2608,-0.01086,0.06114,0.04244
1.2608,-0.10452,-0.01791,0.15142
1.2807,-0.25324,-0.07602,0.17479
1.2807,-0.34463,-0.16921,0.24921
1.2807,-0.49195,-0.11065,0.30294
1.2808,-0.53295,-0.20317,0.33762
1.3009,-0.64520,-0.23659,0.25831
1.3012,-0.72652,-0.25173,0.17811
1.3012,-0.82343,-0.28857,0.12735
1.3012,-1.00076,-0.33605,-0.02331
1.3205,-0.98926,-0.37901,-0.10945
1.3205,-1.05509,-0.45149,-0.27047
1.3205,-1.08483,-0.46851,-0.22084
1.3205,-1.05271,-0.49575,-0.26626
1.3406,-1.07382,-0.35932,-0.31646
1.3406,-1.01953,-0.46395,-0.36156
1.3406,-0.92986,-0.39857,-0.28587
1.3406,-1.05066,-0.32794,-0.23415
1.3605,-0.99125,-0.28181,-0.08360
1.3605,-0.84776,-0.09156,0.04688
1.3605,-0.80523,-0.14949,0.21955
1.3608,-0.75258,0.04635,0.31598
1.3804,-0.73728,-0.00769,0.28906
1.3804,-0.66275,-0.06123,0.35014
1.3804,-0.68424,-0.17323,0.24747
1.3804,-0.65943,-0.32806,0.26207
1.4003,-0.79380,-0.60070,0.25256
1.4003,-0.90347,-0.70103,0.15732
1.4003,-0.98185,-0.76295,0.00251
1.4003,-1.02145,-0.78356,0.10053
1.4201,-1.07495,-0.73548,0.02917
1.4201,-1.00720,-0.71114,-0.03183
1.4201,-1.00182,-0.53420,-0.07298
1.4201,-0.90416,-0.34655,-0.08413
1.4401,-0.81199,-0.21207,-0.13774
1.4401,-0.73017,-0.08590,0.01415
1.4401,-0.48436,0.02281,0.01031
1.4401,-0.34504,0.07157,0.04142
1.4598,-0.20659,0.15842,0.03232
1.4598,-0.03904,0.17254,0.18032
1.4598,0.03848,0.19218,0.07428
1.4598,0.02731,0.15286,0.09462
1.4807,0.01636,0.07083,-0.04525
1.4807,0.04923,0.10439,-0.04121
1.4807,0.01858,0.05173,-0.09906
1.4807,0.07149,0.04215,-0.26445
1.4996,-0.12335,0.09266,-0.22742
1.5000,-0.04118,0.10167,-0.31870
1.5000,0.04568,0.21504,-0.34216
1.5000,0.16833,0.26246,-0.35607
1.5196,0.31558,0.35500,-0.38132
1.5196,0.36079,0.48460,-0.38050
