time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:17:17:944, 
0.0101,-0.06690,0.28799,-0.10859
0.0155,-0.05518,0.21769,-0.09634
0.0155,-0.02376,0.18413,-0.07397
0.0156,-0.00245,0.14738,-0.03030
0.0156,0.01193,0.11915,0.01391
0.0156,0.01939,0.10477,0.03788
0.0174,0.01619,0.09252,0.05279
0.0206,0.00767,0.08293,0.05652
0.0290,-0.00032,0.06855,0.05226
0.0306,-0.00671,0.06375,0.03948
0.0306,-0.03441,0.05577,0.03575
0.0326,-0.04346,0.04405,0.03255
0.0350,-0.05305,0.04405,0.02829
0.0364,-0.06530,0.04724,0.03362
0.0377,-0.06637,0.04724,0.02563
0.0398,-0.06743,0.05150,0.02456
0.0480,-0.06211,0.05310,0.03202
0.0497,-0.05678,0.06642,0.04001
0.0497,-0.05305,0.07068,0.03841
0.0525,-0.04826,0.07335,0.04160
0.0551,-0.04453,0.07228,0.05332
0.0551,-0.04826,0.07495,0.05598
0.0570,-0.04400,0.06909,0.05918
0.0596,-0.04613,0.06856,0.06610
0.0680,-0.03441,0.05737,0.07409
0.0698,-0.03388,0.05577,0.07995
0.0698,-0.02536,0.04565,0.08741
0.0713,-0.01630,0.04299,0.09007
0.0726,-0.00831,0.02967,0.08687
0.0742,0.00128,0.01902,0.08954
0.0768,0.00181,0.02435,0.07782
0.0793,0.01033,0.00571,0.07249
0.0882,0.01033,0.00038,0.06078
0.0895,0.01672,-0.00708,0.05492
0.0895,0.01885,-0.01453,0.05119
0.0922,0.02311,-0.01453,0.04693
0.0935,0.02098,-0.01081,0.04373
0.0947,0.01140,-0.00335,0.04480
0.0969,0.01033,-0.01187,0.04107
0.0993,0.00500,-0.01347,0.04213
0.1083,0.00927,-0.00921,0.04639
0.1096,0.01193,-0.01187,0.03947
0.1110,0.00714,-0.01081,0.04000
0.1110,0.00341,-0.01187,0.03894
0.1123,0.00660,-0.01453,0.03201
0.1143,0.01140,-0.02039,0.03042
0.1169,0.00927,-0.01294,0.02456
0.1198,0.00980,-0.01933,0.02615
0.1287,0.01193,-0.01773,0.02402
0.1287,0.02098,-0.02679,0.01870
0.1287,0.01406,-0.02785,0.01550
0.1301,0.00873,-0.02519,0.01710
0.1315,0.01566,-0.02465,0.00805
