time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:17:17:944, 
0.0100,0.17969,0.46394,-0.46241
0.0100,0.10607,0.63099,-0.51548
0.0100,0.19767,0.61486,-0.49395
0.0100,0.17755,0.63185,-0.37262
0.0277,0.20293,0.49612,-0.13158
0.0277,0.11615,0.38560,0.07091
0.0277,0.17991,0.36232,0.40456
0.0277,0.25166,0.43966,0.06181
0.0468,-0.47852,0.37949,0.09152
0.0469,-0.61310,0.23142,-0.04133
0.0469,0.11107,0.24356,-0.32790
0.0469,0.45747,0.34825,-0.42679
0.0668,0.48492,0.44481,-0.48953
0.0668,0.30106,0.56374,-0.34303
0.0668,0.17311,0.55726,-0.31978
0.0668,-0.09334,0.41317,-0.25891
0.0871,-0.37559,0.27522,-0.05466
0.0871,-0.46897,0.16665,-0.11281
0.0871,-0.47019,0.13240,-0.13314
0.0871,-0.29613,0.10272,-0.00649
0.1069,-0.14173,0.02164,0.12431
0.1069,0.02503,-0.02388,0.20664
0.1069,0.09575,-0.11297,0.18514
0.1069,0.06320,-0.11012,0.14513
0.1270,-0.12475,-0.01238,0.08220
0.1270,-0.21787,0.01751,-0.07239
0.1270,-0.29031,0.04763,-0.18448
0.1270,-0.25358,0.01206,-0.20886
0.1470,-0.23711,-0.06447,-0.16522
0.1470,-0.10623,-0.10523,-0.12694
0.1470,-0.05945,-0.10924,-0.18679
0.1470,0.00682,-0.13937,-0.12128
0.1671,0.10525,-0.13573,-0.10868
0.1671,0.11781,-0.04577,-0.21748
0.1671,0.17207,-0.01678,-0.18726
0.1671,0.21864,-0.00673,-0.22655
0.1861,0.23264,0.09644,-0.17904
0.1862,0.28372,0.09961,-0.17034
0.1862,0.22741,0.20738,-0.07892
0.1862,0.15042,0.15523,-0.03858
0.2063,0.06550,0.18515,0.00223
0.2063,-0.03801,0.19215,-0.04024
0.2063,-0.11819,0.25755,-0.05275
0.2063,-0.11153,0.24027,-0.05981
0.2264,-0.15135,0.25337,-0.00940
0.2264,-0.21462,0.19076,0.02548
