time,X_value,Y_value,Z_value
Started:,Apr 13 2020,11:25:06:910, 
0.0078,0.40631,0.47461,-0.02586
0.0078,0.47007,0.36949,-0.22146
0.0078,0.52103,0.36398,-0.09828
0.0078,0.55506,0.42336,-0.09083
0.0275,0.09542,0.44772,-0.01716
0.0275,-0.39098,0.33824,0.10983
0.0275,-0.52735,0.34119,0.39496
0.0275,-0.33668,0.52988,0.42669
0.0469,-0.66986,0.37829,0.41053
0.0469,-0.89936,-0.98510,1.06425
0.0469,-0.65037,-1.95830,1.94030
0.0469,-1.21476,-0.86385,1.37074
0.0678,-1.04118,-0.30684,0.51548
0.0685,-0.73125,-0.17985,-0.03149
0.0686,-0.17240,-0.23736,-0.03083
0.0686,0.37135,-0.02216,0.01265
0.0875,0.55739,0.28702,-0.05663
0.0875,0.70342,0.43074,-0.20012
0.0875,0.72488,0.33260,-0.26111
0.0875,0.83725,0.31096,-0.22510
0.1068,0.84244,0.41846,-0.25702
0.1068,0.72846,0.56795,-0.17286
0.1068,0.83491,0.56428,-0.12117
0.1068,0.70992,0.52371,-0.04891
0.1270,0.63765,0.34835,0.10680
0.1270,0.39577,0.04624,0.21973
0.1270,0.28687,-0.21493,0.26703
0.1270,0.07244,-0.30562,0.45778
0.1467,-0.08234,-0.22630,0.36558
0.1467,0.04010,-0.23952,0.40285
0.1467,0.06295,-0.22319,0.55114
0.1467,0.16772,-0.28682,0.53243
0.1663,0.22052,-0.13091,0.53983
0.1663,0.11950,0.26045,0.41723
0.1663,-0.03169,0.46867,0.38158
0.1663,0.05097,0.42330,0.56381
0.1867,-0.16829,0.50169,0.57160
0.1867,-0.34070,0.68545,0.46958
0.1867,-0.22542,0.65399,0.32602
0.1868,-0.10294,0.51396,0.42709
0.2064,0.03863,0.10718,0.62398
0.2064,-0.09641,0.00674,0.68163
0.2064,-0.18943,-0.07964,0.50798
0.2064,-0.15667,-0.21846,0.28927
0.2267,-0.11948,-0.17695,0.08904
0.2267,0.11618,-0.19139,0.00689
0.2267,0.25197,-0.35226,0.06845
0.2267,0.35780,-0.18656,0.13222
0.2462,0.31563,-0.00764,-0.01430
0.2462,0.24528,0.14670,0.02467
0.2462,0.07180,0.07855,0.08640
0.2462,0.03028,0.06828,0.24437
0.2668,-0.13338,0.25152,0.26849
0.2668,-0.12045,0.25073,0.27040
0.2668,-0.19573,0.25474,0.24374
0.2668,-0.31244,0.38399,0.11297
0.2865,-0.10817,0.23558,0.07294
0.2865,0.02540,0.06657,0.13387
0.2865,0.15347,-0.07566,0.26376
0.2865,0.07552,0.03275,0.23981
0.3059,0.10183,0.05298,0.08149
0.3059,0.05849,0.14597,-0.01689
0.3060,0.01529,0.26628,-0.10966
0.3060,0.23557,0.25095,-0.03828
0.3270,0.15518,0.35524,0.18339
0.3270,0.01721,0.44568,0.23738
0.3270,-0.20896,0.58290,0.37864
0.3270,-0.39842,0.37420,0.60916
0.3456,-0.50332,0.31539,0.66713
0.3456,-0.38049,0.24920,0.63767
0.3456,-0.16533,-0.08891,0.54424
0.3456,-0.07341,-0.09801,0.45696
0.3657,0.04787,-0.14295,0.32779
0.3657,0.30722,-0.29856,0.29797
0.3657,0.48095,-0.54747,0.23988
0.3657,0.46886,-0.58238,0.15547
0.3859,0.44998,-0.50828,0.04185
0.3859,0.45782,-0.38939,-0.12915
0.3859,0.49679,-0.15560,-0.35973
0.3859,0.36549,-0.00219,-0.39567
0.4050,0.29037,0.08759,-0.35454
0.4050,0.03857,0.24622,-0.28228
0.4050,-0.18533,0.58759,-0.25162
0.4050,-0.47429,0.92229,-0.28711
0.4258,-0.69046,0.87712,-0.16786
0.4258,-0.98612,0.72303,0.27112
0.4258,-0.96375,0.54405,0.53378
0.4258,-0.68499,0.35772,0.58307
0.4452,-0.39280,0.27784,0.47025
0.4452,-0.03251,0.08388,0.37740
0.4452,0.28462,-0.10462,0.51268
0.4452,0.44190,-0.15315,0.45716
0.4689,0.62327,-0.24957,0.39964
0.4689,0.64933,-0.23895,0.31778
0.4689,0.65080,-0.20958,0.28133
0.4689,0.45799,-0.07734,0.22447
0.4851,0.19942,0.07247,0.32151
0.4851,-0.06259,0.18011,0.27079
0.4851,-0.18408,0.21401,0.19179
0.4851,-0.07066,0.18209,0.11991
0.5046,0.03809,0.12238,-0.04820
0.5046,0.20051,0.04518,-0.09712
0.5046,0.40465,-0.12942,-0.20518
0.5046,0.58335,-0.25923,-0.32004
0.5253,0.77803,-0.37244,-0.47311
0.5254,0.85900,-0.37219,-0.54843
0.5254,0.66951,-0.15871,-0.54081
0.5254,0.40776,-0.12308,-0.50395
0.5450,0.33298,-0.18656,-0.32503
0.5450,0.21508,-0.18864,0.06825
0.5450,0.11235,-0.17536,0.20397
0.5450,0.22481,-0.17964,0.20495
0.5648,0.40427,-0.00673,0.18791
0.5648,0.52307,-0.00869,0.19203
0.5648,0.65085,0.08887,0.23026
0.5648,0.74559,0.10618,0.24820
0.5864,0.92771,0.00477,0.23411
0.5864,0.97156,-0.07460,0.13653
0.5864,0.86061,-0.04545,-0.22439
0.5864,0.63233,-0.02944,-0.48330
0.6047,0.42639,-0.10738,-0.76130
0.6047,0.32734,-0.22897,-0.58433
0.6047,0.29589,-0.29800,-0.40774
0.6047,0.29050,-0.24256,-0.31608
0.6254,0.18449,-0.17677,0.07495
0.6254,0.04261,-0.24204,0.18991
0.6254,-0.04695,-0.38946,0.50940
0.6254,-0.21112,-0.35633,0.69550
0.6443,-0.45440,-0.31757,0.86063
0.6443,-0.53098,-0.14054,0.88716
0.6443,-0.75443,0.28093,0.63897
0.6443,-1.02717,0.79722,0.52914
0.6633,-1.25027,0.97739,0.38341
0.6633,-1.54576,1.05799,0.31643
0.6633,-1.85889,1.01832,0.30116
0.6633,-2.08515,1.07769,0.24011
0.6837,-2.11234,0.98584,0.04713
0.6837,-1.97977,0.73086,0.00921
0.6837,-1.69397,0.44137,0.14794
0.6837,-1.16558,0.13069,0.36685
0.7046,-0.63688,-0.16916,0.79266
0.7046,-0.24752,-0.38095,1.01525
0.7046,-0.00648,-0.49498,0.92820
0.7046,0.14538,-0.40662,0.64689
0.7233,0.10556,-0.57045,0.48804
0.7233,0.03723,-0.39946,0.07504
0.7233,-0.02619,-0.27212,0.04633
0.7233,-0.01970,-0.16117,-0.00040
0.7439,-0.14588,0.10277,0.01477
0.7439,-0.09845,0.22193,0.08387
0.7439,-0.10793,0.23115,0.06062
0.7439,-0.14087,0.26783,0.14236
0.7637,-0.03727,0.37918,0.25475
0.7637,-0.11987,0.40453,0.41976
0.7637,-0.25874,0.54409,0.32041
0.7637,-0.43223,0.59231,0.10426
0.7832,-0.55637,0.55172,-0.00699
0.7832,-0.56286,0.59402,-0.13029
0.7832,0.03632,0.01410,-0.67905
0.7832,-0.35907,0.42291,-0.12679
0.8028,-0.67436,0.37660,0.21442
0.8028,-0.79020,0.30412,0.33254
0.8028,-0.74812,0.24793,0.26559
0.8028,-0.71253,0.27170,0.38937
0.8246,-0.52286,0.13367,0.54059
0.8246,-0.32123,0.13580,0.58916
0.8246,-0.29298,0.02645,0.58571
0.8246,-0.21122,0.01395,0.61354
0.8434,-0.19616,-0.08055,0.50848
0.8436,-0.06686,-0.16506,0.26689
0.8436,-0.34904,-0.00776,0.14211
0.8437,-0.40086,0.02348,0.14709
0.8631,-0.36498,0.18974,0.13516
0.8631,-0.29440,0.34288,0.19193
0.8631,-0.47843,0.40806,0.25994
0.8631,-0.59613,0.41955,0.30046
0.8842,-0.57902,0.42946,0.26900
0.8842,-0.50498,0.42617,0.22680
0.8842,-0.32584,0.43346,0.07957
0.8842,-0.01839,0.37504,-0.07394
0.9031,0.25493,0.22414,-0.20970
0.9031,0.47944,0.13480,-0.19828
0.9031,0.53645,-0.00090,-0.09080
0.9031,0.57496,-0.08500,0.10135
0.9229,0.46593,-0.09944,0.20399
0.9229,0.32945,-0.02748,0.23734
0.9229,0.22166,-0.06875,0.19461
0.9229,0.01516,-0.15406,0.05508
0.9427,-0.14314,-0.12928,0.07139
0.9427,-0.26220,-0.10903,0.11719
0.9428,-0.27016,-0.02894,0.21308
0.9428,-0.29673,-0.07480,0.23407
0.9628,-0.21730,-0.00189,0.35476
0.9628,-0.14563,0.01559,0.37328
0.9628,-0.10949,0.15256,0.31378
0.9628,-0.02736,0.20343,0.23705
0.9825,0.03922,0.49063,0.14172
0.9825,0.75593,1.48064,0.13434
0.9825,0.68328,1.65152,-0.44207
0.9825,-0.13294,0.87086,-0.62692
1.0027,-0.50121,0.37211,-0.26739
1.0027,-0.30094,0.00197,0.22498
1.0027,0.23425,-0.22535,0.47956
1.0027,0.82366,-0.41602,0.74294
1.0225,1.33747,-0.53883,0.91101
1.0225,1.42493,-0.55759,0.87701
1.0225,1.22954,-0.41331,0.70524
1.0225,0.75020,-0.25829,0.54204
1.0419,0.20141,0.10661,0.27417
1.0419,-0.32419,0.21550,0.03438
1.0419,-0.69443,0.34193,-0.09901
1.0419,-0.85824,0.36314,-0.17508
1.0630,-0.90207,0.24441,-0.04073
1.0630,-0.71210,0.11254,0.14738
1.0630,-0.49314,0.01024,0.30707
1.0630,-0.21074,-0.04577,0.40418
1.0833,-0.01921,-0.05474,0.54437
1.0833,0.12088,-0.05768,0.56992
1.0833,0.17467,0.02124,0.66805
1.0833,0.15067,0.10796,0.54955
1.1017,-0.04760,0.19939,0.48166
1.1017,-0.21134,0.31315,0.33846
1.1017,-0.22852,0.37685,0.06178
1.1017,-0.22129,0.37273,0.00181
1.1222,-0.08834,0.43091,0.02031
1.1222,0.05929,0.32706,0.14522
1.1222,0.30858,0.16901,0.22588
1.1222,0.37390,0.12710,0.33996
