time,X_value,Y_value,Z_value
Started:,Apr 22 2020,09:52:51:256, 
0.0082,-0.19850,0.56384,-0.09961
0.0082,-0.18785,0.54733,-0.08576
0.0185,-0.16495,0.52922,-0.07831
0.0186,-0.14950,0.49460,-0.06978
0.0186,-0.12074,0.44666,-0.05327
0.0186,-0.09357,0.38701,-0.02611
0.0199,-0.05895,0.34653,-0.01386
0.0213,-0.05682,0.31244,-0.00747
0.0223,-0.05895,0.30019,0.00532
0.0264,-0.05842,0.27942,0.03195
0.0383,-0.05309,0.26770,0.04686
0.0411,-0.04723,0.26344,0.05858
0.0412,-0.03392,0.26024,0.06391
0.0412,-0.03072,0.25545,0.07296
0.0412,-0.02540,0.25332,0.07775
0.0412,-0.01794,0.24054,0.07935
0.0424,-0.00409,0.21604,0.09054
0.0447,0.00443,0.18461,0.09373
0.0534,0.00443,0.14892,0.08574
0.0546,0.01136,0.13401,0.07509
0.0546,-0.00143,0.14200,0.06337
0.0572,-0.00622,0.15585,0.06550
0.0584,-0.01741,0.16810,0.07509
0.0597,-0.02912,0.17502,0.08255
0.0653,-0.04351,0.16863,0.09160
0.0669,-0.04670,0.15691,0.08148
0.0752,-0.04670,0.15798,0.08468
0.0768,-0.04031,0.16703,0.07562
0.0768,-0.04351,0.17875,0.06444
0.0785,-0.03125,0.19952,0.06231
0.0785,-0.04404,0.21337,0.05219
0.0803,-0.04936,0.21071,0.04953
0.0822,-0.05522,0.21923,0.04420
0.0841,-0.06321,0.21071,0.03887
0.0975,-0.07120,0.20325,0.03408
0.0992,-0.06854,0.19580,0.04207
0.0992,-0.06481,0.19846,0.04793
0.1036,-0.05629,0.19207,0.04580
0.1036,-0.05469,0.19846,0.04739
0.1036,-0.04457,0.18834,0.04846
0.1036,-0.04191,0.18354,0.04739
0.1059,-0.04137,0.17875,0.04047
0.1137,-0.03871,0.15851,0.04260
0.1150,-0.03765,0.14999,0.05006
0.1150,-0.03978,0.14253,0.05112
0.1167,-0.03658,0.12442,0.04313
0.1192,-0.03019,0.11537,0.04154
0.1210,-0.03552,0.10312,0.04793
0.1227,-0.02699,0.09566,0.04793
0.1292,-0.02699,0.08181,0.05432
0.1375,-0.02966,0.05944,0.05059
0.1375,-0.02113,0.05944,0.05219
0.1396,-0.02007,0.03760,0.04526
0.1396,-0.01368,0.03334,0.04526
0.1396,-0.00942,0.02642,0.05006
0.1413,-0.00729,0.01843,0.04846
0.1449,-0.00516,0.01630,0.04793
0.1463,-0.00089,0.01363,0.04047
0.1543,-0.01155,0.01896,0.03781
0.1618,-0.00356,0.01683,0.03248
0.1618,-0.00675,0.02802,0.03355
0.1635,-0.00356,0.03867,0.03621
