time,X_value,Y_value,Z_value
Started:,Apr 22 2020,11:55:25:221, 
0.0063,0.35094,0.40897,0.20598
0.0063,0.29020,0.43188,0.28944
0.0063,0.17865,0.45956,0.14671
0.0064,-0.88562,-0.48695,0.57854
0.0263,-0.74631,0.43805,0.25889
0.0263,0.13078,0.27459,0.21052
0.0263,-0.20515,0.32718,-0.40560
0.0263,-0.48449,0.15920,-0.65146
0.0457,-0.71659,-0.03262,-0.56554
0.0457,-0.51123,-0.21326,-0.18677
0.0457,-0.04584,-0.20278,0.06776
0.0457,0.47830,-0.49291,0.00885
0.0659,-0.16245,-0.11400,0.14357
0.0659,-0.22543,0.12957,0.31131
0.0659,0.19972,-0.00760,0.15427
0.0659,0.02404,0.29115,-0.03960
0.0856,-0.20841,0.42264,0.09732
0.0856,-0.37357,0.39165,0.18211
0.0856,-0.40780,0.44739,0.10889
0.0856,-0.44229,0.43881,0.04439
0.1053,-0.35698,0.35958,-0.03409
0.1053,-0.32204,0.38489,-0.04685
0.1053,-0.20638,0.18228,-0.20204
0.1053,-0.01092,0.08829,-0.27126
0.1252,0.26867,-0.05374,-0.25738
0.1252,0.32471,-0.13603,-0.16777
0.1252,0.46189,-0.17399,-0.30078
0.1252,0.51206,-0.19437,-0.33585
0.1453,0.61710,-0.14947,-0.35297
0.1453,0.74613,-0.17757,-0.27857
0.1453,0.68831,-0.15055,-0.15806
0.1453,0.60720,-0.13031,-0.10310
0.1649,0.39618,-0.11162,-0.07368
0.1649,-0.07402,0.16912,0.20379
0.1649,-0.24668,0.26872,0.12220
0.1649,-0.22339,0.29744,0.03927
0.1852,-0.23597,0.34616,0.15517
0.1852,-0.26395,0.40002,0.17938
0.1852,-0.29941,0.39657,0.14616
0.1852,-0.37061,0.37845,0.05291
0.2052,-0.35352,0.35593,-0.05132
0.2052,-0.28867,0.36710,-0.04265
0.2052,-0.26434,0.37101,-0.11183
0.2052,-0.18659,0.31564,0.00016
0.2249,-0.06386,0.32249,0.04877
0.2249,0.17859,0.24382,-0.00183
0.2249,0.38859,0.17997,-0.05967
0.2249,0.54651,0.21144,-0.02825
0.2448,0.56786,0.15463,-0.08309
0.2448,0.51750,0.12126,-0.04648
0.2448,0.43837,0.06760,-0.00772
0.2448,0.29876,0.09717,-0.01940
0.2647,0.28294,0.03493,-0.05085
0.2647,0.33703,0.01617,-0.12456
0.2647,0.26709,-0.06977,-0.16630
0.2647,-0.06515,0.10966,-0.09068
0.2849,-0.14577,0.12369,-0.23945
0.2849,0.18565,0.09258,-0.45817
0.2849,0.56153,-0.00165,-0.61162
0.2849,0.83773,0.06788,-0.73010
0.3046,0.93683,-0.01976,-0.79300
0.3046,1.03732,-0.12264,-0.64614
0.3046,1.11968,-0.17167,-0.57273
0.3046,0.88740,-0.04734,-0.24815
0.3251,0.60105,0.24829,0.03394
0.3251,0.35574,0.51314,0.16853
0.3251,0.19590,0.47007,0.21819
0.3251,0.23307,0.30758,0.22110
0.3446,0.22672,0.24690,0.11040
0.3446,0.27197,0.01345,-0.18635
0.3446,0.40824,-0.14146,-0.44349
0.3446,0.54893,-0.15397,-0.57537
0.3641,0.48660,-0.15919,-0.68709
0.3641,0.53995,-0.08665,-0.73493
0.3641,0.53580,0.17059,-0.65995
0.3641,0.59370,0.25851,-0.67442
0.3838,0.46865,0.45060,-0.54451
0.3838,0.48835,0.38577,-0.17571
0.3838,0.43252,0.03917,-0.02737
0.3838,0.17410,-0.23995,0.08828
0.4042,-0.06776,-0.35036,0.18412
0.4042,-0.31334,-0.41054,0.24197
0.4042,-0.37507,-0.28303,0.09743
0.4042,-0.25565,-0.22851,0.07316
0.4244,-0.16753,-0.15169,0.02392
0.4244,0.00955,-0.15139,-0.08677
0.4244,0.08587,-0.21191,-0.05988
0.4244,0.25693,-0.13966,0.02456
0.4449,0.40999,-0.20601,-0.05864
0.4449,0.50295,-0.32997,0.04237
0.4449,0.46652,-0.26049,0.02654
0.4449,0.41570,-0.37838,-0.11073
0.4636,0.42192,-0.41994,-0.06333
0.4636,0.26788,-0.30443,-0.00515
0.4636,0.13428,-0.20899,-0.09392
0.4636,0.02135,-0.09868,-0.24059
0.4835,0.10125,-0.03353,-0.09156
0.4835,0.17293,0.09228,-0.17632
0.4835,0.34710,0.07658,-0.21514
0.4835,0.29205,0.09466,-0.06886
0.5035,0.00501,-0.09233,-0.02367
0.5035,-0.14510,-0.04454,-0.03846
0.5035,-0.39690,-0.00675,0.00374
0.5035,-0.79463,0.37704,0.09048
0.5238,-0.95912,0.40095,-0.00038
0.5238,-1.04263,0.46532,0.18671
0.5238,-1.08613,0.48032,0.02472
0.5238,-1.16583,0.36217,0.01850
0.5437,-1.25398,0.28345,-0.00662
0.5437,-1.25156,0.30287,-0.06130
0.5437,-1.21645,0.30356,-0.15205
0.5437,-0.97761,0.28179,-0.24228
0.5655,-0.65154,0.13215,-0.26018
0.5655,-0.33524,-0.04713,-0.17017
0.5655,0.05036,-0.14469,0.14294
0.5655,0.23467,-0.20709,0.24927
0.5830,0.06594,-0.17171,0.30301
0.5830,-0.25666,-0.00333,0.56160
0.5830,-0.55222,0.14176,0.87862
0.5830,-0.97095,0.20527,0.81437
0.6030,-1.48264,0.27737,0.65088
0.6030,-1.90463,0.45127,0.45872
0.6030,-2.06155,0.46485,0.27743
0.6030,-1.84514,0.43728,0.12787
0.6229,-1.53550,0.21160,0.09207
0.6229,-1.21540,-0.02928,0.07173
0.6229,-1.03601,-0.05230,0.19383
0.6229,-1.06127,0.03381,0.18165
0.6437,-1.07628,0.23037,0.12457
0.6437,-0.65628,-0.16018,0.26963
0.6437,-0.18231,-0.73021,0.44816
0.6437,-0.16841,-0.76950,0.48503
0.6625,-0.35384,-0.42579,0.18138
0.6625,-0.39168,-0.10967,-0.01186
0.6625,-0.36373,0.18909,-0.11106
0.6625,-0.42660,0.42100,0.03632
0.6836,-0.54553,0.55326,0.38504
0.6836,-0.74180,0.56868,0.62413
0.6836,-0.77471,0.58577,0.66583
0.6836,-0.80398,0.55249,0.41273
0.7028,-0.65709,0.58301,0.16683
0.7028,-0.43525,0.57912,0.08258
0.7028,-0.06082,0.46104,-0.02558
0.7029,0.30634,0.36239,0.01231
0.7221,0.41874,0.53682,-0.11389
0.7221,0.47737,0.51053,-0.07736
0.7221,0.42092,0.40592,-0.02865
0.7221,0.29642,0.25086,0.04986
0.7423,0.25780,0.04996,0.18817
0.7423,0.24959,0.09342,0.27326
0.7423,0.28500,0.09586,0.12737
0.7423,0.28329,0.22050,0.03755
0.7621,0.28904,0.23278,0.13465
0.7621,0.32104,0.22797,0.14776
0.7621,0.42591,0.09154,0.18014
0.7621,0.41196,0.09592,0.16357
0.7821,0.21257,0.10610,0.17168
0.7821,-0.06371,0.26470,0.19168
0.7821,-0.30352,0.44779,0.26600
0.7821,-0.51920,0.50505,0.31420
0.8018,-0.72885,0.56427,0.39820
0.8018,-0.95722,0.51652,0.47983
0.8018,-1.10525,0.47464,0.73075
0.8018,-1.20886,0.49126,0.83750
0.8220,-1.23075,0.50555,0.84474
0.8221,-0.99265,0.45633,0.82750
0.8221,-0.70182,0.27804,0.73671
0.8221,-0.38198,0.25055,0.73623
0.8418,-0.17080,0.05796,0.66928
0.8418,0.07784,0.01585,0.58339
0.8418,0.12863,0.01429,0.31331
0.8418,0.44713,0.25043,-0.49707
0.8618,0.45295,0.64227,-0.08964
0.8618,-0.46390,1.96413,-1.29341
