time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:33:08:679, 
0.0061,0.01105,0.33147,-0.01589
0.0061,0.01851,0.31763,-0.00950
0.0061,0.02650,0.28993,-0.00630
0.0061,0.01691,0.27129,-0.00151
0.0061,0.01265,0.24945,0.00169
0.0061,0.00519,0.23560,0.00595
0.0061,-0.00812,0.22548,0.00861
0.0145,-0.00812,0.21163,0.01607
0.0159,-0.01451,0.20098,0.01341
0.0159,-0.01771,0.18607,0.02459
0.0185,-0.01505,0.17115,0.03311
0.0200,-0.01771,0.15943,0.03258
0.0211,-0.02091,0.14559,0.04483
0.0296,-0.01132,0.13919,0.03045
0.0312,-0.01292,0.13174,0.03258
0.0394,-0.01079,0.11416,0.03311
0.0394,-0.01132,0.10564,0.02938
0.0412,-0.00546,0.08859,0.02938
0.0412,-0.00120,0.08273,0.02938
0.0412,-0.00386,0.08966,0.02406
0.0430,-0.00546,0.08913,0.01127
0.0441,0.00146,0.09765,0.00968
0.0456,0.00839,0.11043,0.00169
0.0543,0.01052,0.12055,0.00115
0.0608,0.01478,0.13120,-0.00790
0.0608,0.01585,0.14505,-0.01962
0.0628,0.00679,0.14665,-0.02281
0.0628,0.00679,0.17222,-0.03293
0.0628,-0.00173,0.19459,-0.03027
0.0639,-0.01238,0.21589,-0.02867
0.0656,-0.01771,0.23880,-0.03187
0.0744,-0.02197,0.26489,-0.02707
0.0758,-0.02836,0.28567,-0.02654
0.0758,-0.03103,0.31443,-0.02867
0.0771,-0.02570,0.34479,-0.04092
0.0794,-0.03316,0.36556,-0.03560
0.0803,-0.03582,0.40924,-0.04146
0.0830,-0.03475,0.44652,-0.04252
0.0920,-0.03955,0.49286,-0.05477
0.1000,-0.03156,0.52961,-0.05850
0.1018,-0.03103,0.57648,-0.07341
0.1018,-0.03316,0.62123,-0.07501
0.1018,-0.02996,0.66011,-0.06862
0.1018,-0.02890,0.70006,-0.04625
0.1036,-0.02463,0.72349,-0.02921
0.1055,-0.02091,0.74267,-0.01216
0.1055,-0.01132,0.74693,0.00115
0.1142,-0.00226,0.73627,0.00861
0.1168,-0.00919,0.73095,0.02246
0.1168,-0.01505,0.71443,0.02300
0.1237,-0.03050,0.70059,0.02726
0.1256,-0.03849,0.66916,0.03152
0.1256,-0.03902,0.61909,0.04430
0.1256,-0.04967,0.57489,0.06081
0.1274,-0.05819,0.54453,0.08158
0.1356,-0.06778,0.52322,0.09756
0.1373,-0.07790,0.52482,0.10396
0.1373,-0.07577,0.52588,0.11035
0.1388,-0.07151,0.52695,0.11567
0.1388,-0.06778,0.51896,0.11940
0.1401,-0.05553,0.52429,0.11780
0.1425,-0.05020,0.52375,0.12206
0.1452,-0.05340,0.52855,0.11088
0.1593,-0.06245,0.53227,0.10023
0.1612,-0.07044,0.53813,0.09756
0.1612,-0.08110,0.54612,0.09437
0.1612,-0.09175,0.55731,0.09916
0.1612,-0.09921,0.57595,0.09597
0.1628,-0.09761,0.59566,0.09543
0.1643,-0.09601,0.61963,0.08798
0.1659,-0.09494,0.63454,0.08105
0.1744,-0.10560,0.66383,0.06667
0.1774,-0.10986,0.68674,0.05282
0.1774,-0.10666,0.71443,0.04537
0.1786,-0.11998,0.74906,0.04430
0.1801,-0.11945,0.77462,0.03844
0.1814,-0.12264,0.81031,0.03418
0.1829,-0.12104,0.83747,0.03738
0.1919,-0.12424,0.87316,0.03844
0.2005,-0.13436,0.90139,0.03365
0.2008,-0.13276,0.93228,0.02033
0.2008,-0.14182,0.94933,0.01714
0.2021,-0.15726,0.96850,0.01820
0.2021,-0.16046,0.98288,0.01341
0.2050,-0.17431,0.99140,0.03205
0.2051,-0.18389,0.99034,0.04217
0.2093,-0.19135,0.97969,0.05229
0.2152,-0.18869,0.97809,0.06561
0.2152,-0.19242,0.97383,0.06933
0.2152,-0.17963,0.97116,0.07732
0.2237,-0.16685,0.96584,0.07253
0.2255,-0.15993,0.96797,0.07892
0.2255,-0.15513,0.97702,0.08372
0.2255,-0.14714,0.99247,0.07679
0.2276,-0.14341,1.01005,0.06933
0.2358,-0.14288,1.03508,0.06720
0.2373,-0.13702,1.05532,0.06401
