time,X_value,Y_value,Z_value
Started:,Apr 14 2020,13:36:07:437, 
0.0189,-0.16525,-0.34405,0.22350
0.0189,-0.15226,-0.23507,-0.02504
0.0189,-0.11384,-0.31613,-0.13620
0.0189,-0.04862,-0.32948,-0.00561
0.0378,0.09080,-0.25672,-0.00789
0.0378,0.05679,-0.20650,-0.08700
0.0378,0.00396,-0.06008,-0.08531
0.0378,-0.01211,0.05921,-0.15553
0.0576,-0.23897,0.09012,0.04222
0.0576,-0.26771,0.15533,0.18504
0.0576,-0.17354,0.06837,0.21493
0.0576,-0.11378,-0.04248,0.26097
0.0774,-0.07359,-0.17965,0.27936
0.0774,-0.08302,-0.24692,0.24242
0.0774,0.00857,-0.33846,0.08737
0.0774,-0.02180,-0.32324,-0.09590
0.0970,-0.03088,-0.21745,-0.26460
0.0970,0.05435,-0.24489,-0.29827
0.0970,0.16347,-0.26952,-0.36352
0.0970,0.28593,-0.23862,-0.45077
0.1174,0.44237,-0.22717,-0.58545
0.1174,0.65850,-0.24973,-0.69658
0.1174,0.98031,-0.18967,-0.75052
0.1174,1.24741,-0.14338,-0.89073
0.1376,1.37291,-0.13846,-0.90937
0.1376,1.32362,-0.25641,-0.87056
0.1376,0.72370,-0.05297,-0.48643
0.1376,0.12282,-0.02572,-0.27494
0.1572,-0.57141,0.53959,-0.06020
0.1572,-0.42654,0.50370,-0.05669
0.1572,0.00072,0.05148,-0.11236
0.1572,0.02440,-0.13551,-0.08167
0.1768,-0.04128,-0.14833,-0.09792
0.1768,0.16715,-0.18554,-0.26289
0.1768,0.30828,-0.22111,-0.39561
0.1768,0.47631,-0.23960,-0.61428
0.1968,0.56924,-0.23781,-0.70138
0.1968,0.85423,-0.30637,-0.81031
0.1968,1.09434,-0.35348,-0.88558
0.1968,1.11951,-0.41793,-0.58102
0.2170,1.26532,-0.49714,-0.34565
0.2170,1.33379,-0.38819,-0.56393
0.2170,0.98377,-0.32366,-0.66558
0.2170,0.68609,-0.30272,-0.55628
0.2370,0.45031,-0.15653,-0.48254
0.2370,0.40328,-0.18103,-0.40699
0.2370,0.23357,-0.21307,-0.49873
0.2370,0.04108,-0.12931,-0.64521
0.2568,-0.10860,-0.07083,-0.64447
0.2568,-0.20567,-0.01916,-0.71677
0.2568,-0.06974,-0.07880,-0.59638
0.2568,0.12322,-0.12987,-0.83780
0.2768,0.26546,-0.30021,-0.97925
0.2768,0.59781,-0.23158,-0.48809
0.2768,0.93984,-0.28074,-0.53126
0.2768,1.10683,-0.32511,-0.37607
0.2966,0.93198,-0.27872,-0.33782
0.2966,0.91686,-0.14308,-0.33277
0.2966,0.29465,0.43087,-0.94225
0.2966,1.53684,0.18583,-1.11251
0.3165,2.18312,0.10314,-0.79282
0.3165,1.32709,0.07191,-0.39242
0.3165,0.62565,0.26394,-0.08412
0.3165,0.35865,0.35068,0.14035
0.3363,0.21691,0.37771,0.22296
0.3363,0.19417,0.43035,0.11174
0.3363,-0.04888,0.53366,0.10011
0.3363,-0.10616,0.67263,0.11121
0.3566,-0.07482,0.77402,-0.04761
0.3566,-0.13508,1.05164,-0.13727
0.3566,-0.30567,1.30140,-0.29556
0.3567,-0.27549,1.40741,-0.24398
0.3763,-0.16793,1.33636,-0.33875
0.3763,-0.05947,1.18000,0.09339
0.3763,-0.20496,0.82898,0.68915
0.3763,-0.33756,0.53089,0.85896
0.3963,-0.27819,0.27723,0.82935
0.3963,-0.17318,0.34484,0.44158
0.3963,-0.39471,0.53686,0.06479
