time,X_value,Y_value,Z_value
Started:,Apr 14 2020,14:34:50:207, 
0.0054,-0.05891,-0.03744,-0.03483
0.0054,-0.05518,-0.04276,-0.02630
0.0054,-0.04879,-0.04916,-0.03270
0.0058,-0.04719,-0.05342,-0.02151
0.0072,-0.04187,-0.06247,-0.01512
0.0101,-0.04560,-0.06620,-0.00606
0.0215,-0.04347,-0.06833,-0.00500
0.0215,-0.03654,-0.06460,-0.00234
0.0226,-0.03707,-0.06780,0.00246
0.0226,-0.03015,-0.07099,0.01098
0.0245,-0.02642,-0.07579,0.00778
0.0261,-0.01630,-0.07525,0.00938
0.0274,-0.01417,-0.08378,0.01045
0.0296,-0.01364,-0.08804,0.01364
0.0386,-0.01417,-0.09070,0.01364
0.0413,-0.00831,-0.09496,0.01151
0.0429,-0.01790,-0.09922,0.01364
0.0429,-0.00991,-0.10295,0.02057
0.0445,-0.01524,-0.10135,0.02483
0.0465,-0.00991,-0.10348,0.04081
0.0465,-0.01204,-0.10508,0.04454
0.0491,-0.00565,-0.10189,0.04720
0.0586,-0.00618,-0.10135,0.06637
0.0616,-0.00778,-0.09762,0.07223
0.0631,-0.01364,-0.09656,0.07916
0.0631,-0.00831,-0.09177,0.08502
0.0648,-0.01417,-0.08324,0.08821
0.0664,-0.00671,-0.07525,0.08448
0.0681,-0.00565,-0.06460,0.08555
0.0698,-0.00938,-0.04489,0.07756
0.0784,-0.00032,-0.02519,0.07596
0.0808,-0.00512,0.00198,0.06584
0.0833,0.00021,0.02115,0.05785
0.0833,0.00074,0.05524,0.04933
0.0845,-0.00618,0.08720,0.05039
0.0861,-0.00352,0.13141,0.03974
0.0879,-0.00618,0.16230,0.03122
0.0895,-0.00778,0.21929,0.03015
0.0992,-0.01204,0.25977,0.02589
0.1016,-0.01098,0.30664,0.02589
0.1018,-0.01257,0.35778,0.02003
0.1028,-0.00938,0.40092,0.02217
0.1040,-0.00831,0.44459,0.01790
0.1058,-0.00245,0.49147,0.03495
0.1071,-0.00299,0.54100,0.03282
0.1090,-0.00299,0.57882,0.04613
0.1185,-0.00139,0.61291,0.05039
0.1202,-0.00299,0.63741,0.05359
0.1223,-0.00352,0.65605,0.05466
0.1223,-0.01098,0.67736,0.05945
0.1239,-0.02216,0.68215,0.06744
0.1255,-0.03388,0.67469,0.07436
0.1268,-0.03335,0.65072,0.07969
0.1288,-0.03974,0.62942,0.06584
0.1380,-0.04187,0.60545,0.07703
0.1405,-0.05146,0.59586,0.08928
0.1445,-0.04293,0.57935,0.09727
0.1445,-0.04826,0.55219,0.12123
0.1453,-0.04347,0.54526,0.13135
0.1472,-0.03175,0.52928,0.13934
0.1490,-0.03175,0.53035,0.14627
0.1548,-0.02429,0.54153,0.15745
0.1604,-0.02110,0.55006,0.16917
0.1629,-0.02642,0.56071,0.17823
0.1629,-0.02429,0.57669,0.19580
0.1642,-0.03122,0.58841,0.21125
0.1643,-0.03281,0.60492,0.23149
0.1658,-0.04240,0.61504,0.26025
0.1671,-0.04560,0.63688,0.28102
0.1692,-0.05412,0.65498,0.29754
0.1777,-0.05731,0.67682,0.31565
0.1802,-0.06104,0.70612,0.33003
0.1802,-0.05785,0.73062,0.33855
0.1819,-0.06211,0.75725,0.34547
0.1834,-0.05891,0.78069,0.34707
0.1851,-0.06957,0.81477,0.35506
0.1864,-0.06690,0.84886,0.36198
0.1881,-0.08395,0.88774,0.36198
0.1971,-0.08128,0.92663,0.36465
0.1998,-0.08288,0.97403,0.36891
0.2027,-0.08608,1.02729,0.37370
0.2027,-0.08981,1.08588,0.37210
0.2040,-0.08981,1.13648,0.36198
0.2059,-0.08821,1.19294,0.36198
0.2071,-0.08927,1.24727,0.35240
0.2087,-0.09993,1.30107,0.35613
0.2174,-0.11537,1.34900,0.35559
0.2206,-0.13455,1.39694,0.34867
0.2222,-0.15692,1.44168,0.35346
0.2222,-0.17822,1.47897,0.34228
0.2236,-0.18674,1.50294,0.34814
0.2254,-0.20326,1.52318,0.34121
0.2272,-0.22083,1.53276,0.34707
0.2286,-0.22563,1.56525,0.34441
0.2367,-0.23415,1.57164,0.34547
0.2392,-0.23628,1.59508,0.34174
0.2410,-0.24107,1.61479,0.33748
0.2410,-0.23575,1.63556,0.33855
0.2427,-0.23947,1.66379,0.33162
0.2452,-0.24054,1.68669,0.32630
0.2463,-0.24906,1.71386,0.32523
0.2482,-0.25545,1.74155,0.31884
0.2583,-0.26611,1.77831,0.31618
0.2608,-0.27250,1.80494,0.30925
0.2608,-0.28794,1.84382,0.29913
0.2608,-0.29274,1.86459,0.29860
0.2624,-0.30552,1.88323,0.29434
0.2644,-0.29913,1.90081,0.28795
0.2669,-0.31990,1.92371,0.28901
0.2700,-0.32044,1.94236,0.27676
0.2707,-0.31671,1.95940,0.26451
0.2739,-0.31777,1.99562,0.25759
0.2757,-0.31511,2.01746,0.24161
0.2790,-0.31032,2.03983,0.23256
0.2807,-0.31298,2.06806,0.21445
0.2842,-0.30818,2.09309,0.20433
0.2884,-0.30925,2.10854,0.19367
0.2884,-0.31458,2.12292,0.18515
0.2968,-0.32150,2.14050,0.17077
0.2984,-0.32842,2.14529,0.16811
0.2984,-0.33641,2.15434,0.15532
0.2999,-0.35506,2.15914,0.13082
0.3012,-0.37423,2.15861,0.12123
0.3026,-0.39394,2.16553,0.10739
0.3053,-0.41045,2.16766,0.10579
0.3080,-0.42430,2.16500,0.09620
0.3166,-0.44986,2.15488,0.08555
0.3183,-0.46691,2.13837,0.07170
0.3183,-0.49567,2.12292,0.06904
0.3195,-0.51378,2.11280,0.07063
0.3209,-0.53029,2.10321,0.10259
0.3231,-0.55692,2.08990,0.15266
0.3267,-0.60326,2.04782,0.18036
0.3286,-0.65173,1.95035,0.17077
0.3364,-0.69701,1.85394,0.13349
0.3386,-0.74441,1.75913,0.08928
0.3386,-0.77743,1.69042,0.04507
0.3412,-0.75347,1.88270,0.22829
0.3424,-0.74228,2.20122,0.63203
0.3436,-0.80247,2.33224,0.90314
0.3452,-0.84827,2.42758,1.03204
0.3473,-0.88023,2.48830,1.05441
0.3563,-0.89088,2.54104,1.02192
0.3580,-0.88875,2.55701,0.94575
0.3580,-0.87064,2.54902,0.85573
0.3596,-0.86425,2.52080,0.75880
0.3621,-0.86265,2.48617,0.65600
0.3636,-0.86425,2.43025,0.56225
0.3649,-0.88023,2.36420,0.47916
0.3674,-0.90367,2.29709,0.40726
0.3763,-0.92977,2.22199,0.34174
0.3779,-0.96279,2.13197,0.28262
0.3779,-0.98569,2.06273,0.20006
0.3797,-1.02298,1.97325,0.14840
0.3818,-1.06559,1.87791,0.11857
0.3831,-1.09808,1.78630,0.09567
0.3853,-1.12418,1.69149,0.08981
0.3881,-1.14335,1.60307,0.09460
0.3962,-1.15560,1.51465,0.10845
0.3975,-1.15613,1.44168,0.14201
0.3975,-1.17158,1.38469,0.18835
0.3992,-1.17424,1.33835,0.23948
0.4007,-1.18170,1.30693,0.31724
0.4069,-1.19768,1.30852,0.38489
0.4069,-1.22005,1.30693,0.47597
0.4077,-1.23230,1.31225,0.56066
0.4166,-1.24508,1.34635,0.62830
0.4191,-1.26160,1.38896,0.68369
0.4191,-1.28503,1.43103,0.73642
0.4206,-1.29622,1.47311,0.76359
0.4216,-1.32924,1.52158,0.78489
0.4247,-1.35481,1.56952,0.79661
0.4264,-1.39316,1.62545,0.79501
0.4275,-1.42405,1.67178,0.78542
0.4363,-1.46613,1.71653,0.75453
0.4378,-1.50341,1.75221,0.72044
0.4378,-1.53377,1.78044,0.69860
0.4393,-1.55667,1.81027,0.65919
0.4405,-1.58171,1.84169,0.62563
0.4421,-1.60408,1.86939,0.59900
0.4442,-1.62432,1.89602,0.58941
0.4470,-1.63284,1.92532,0.57131
0.4573,-1.65095,1.94289,0.56491
0.4595,-1.66693,1.97911,0.56385
0.4595,-1.68078,2.00788,0.58569
0.4595,-1.69995,2.04037,0.60220
0.4613,-1.71753,2.06167,0.62244
0.4631,-1.73830,2.08085,0.63362
0.4650,-1.75641,2.10055,0.65653
0.4682,-1.77452,2.12239,0.67037
0.4758,-1.79476,2.13837,0.67836
0.4774,-1.81660,2.15541,0.69434
0.4774,-1.82512,2.17619,0.69434
0.4790,-1.84376,2.19856,0.69381
0.4808,-1.85228,2.21986,0.69008
0.4823,-1.87306,2.23797,0.67570
0.4849,-1.88531,2.25608,0.65972
0.4869,-1.89916,2.27632,0.64321
0.4958,-1.90715,2.29496,0.62244
0.4969,-1.92632,2.32106,0.60007
0.4969,-1.93964,2.33757,0.57610
0.4986,-1.95508,2.34983,0.55533
0.5000,-1.97213,2.36580,0.52923
0.5017,-1.98065,2.38338,0.50153
0.5039,-1.98970,2.38711,0.47383
0.5079,-2.00622,2.38977,0.45359
0.5156,-2.01048,2.39670,0.42803
0.5175,-2.01634,2.40362,0.40566
0.5175,-2.02060,2.40735,0.38488
0.5190,-2.01953,2.40841,0.36677
0.5211,-2.03018,2.41427,0.34440
0.5217,-2.03285,2.40948,0.33002
0.5241,-2.03338,2.40948,0.31724
0.5266,-2.04030,2.41214,0.30499
0.5360,-2.04243,2.40256,0.28635
0.5405,-2.05948,2.40628,0.27197
0.5405,-2.06214,2.40309,0.25386
0.5405,-2.07493,2.39297,0.23734
0.5431,-2.08398,2.38817,0.22030
0.5432,-2.10582,2.37752,0.19953
0.5439,-2.11647,2.36953,0.18621
0.5470,-2.13671,2.35409,0.15958
0.5554,-2.14630,2.34450,0.13934
0.5569,-2.16494,2.32852,0.11804
0.5569,-2.17772,2.31201,0.09620
0.5586,-2.18678,2.29869,0.07596
0.5601,-2.19264,2.28697,0.05732
0.5621,-2.20915,2.26993,0.03654
0.5641,-2.22140,2.24916,0.01470
0.5663,-2.22779,2.23158,-0.00447
0.5754,-2.23258,2.20761,-0.02844
0.5766,-2.24111,2.19376,-0.04442
0.5766,-2.25176,2.17352,-0.06519
0.5785,-2.25602,2.15648,-0.08543
0.5800,-2.26401,2.14103,-0.10034
0.5816,-2.26774,2.12399,-0.12431
0.5850,-2.27466,2.10268,-0.14295
0.5869,-2.27839,2.09043,-0.16533
0.5938,-2.28478,2.07818,-0.18290
0.5960,-2.28478,2.06327,-0.20101
0.5960,-2.28265,2.04995,-0.21752
0.5971,-2.28798,2.05262,-0.23510
