time,X_value,Y_value,Z_value
Started:,Apr 22 2020,11:44:50:853, 
0.0047,-0.00298,-0.01604,0.02181
0.0075,0.00554,-0.01763,0.00850
0.0075,0.01726,-0.00698,-0.00002
0.0102,0.02524,0.01805,-0.01334
0.0258,0.03963,0.03776,-0.01654
0.0258,0.04815,0.07025,-0.02879
0.0258,0.05560,0.10434,-0.03358
0.0258,0.06572,0.13896,-0.04796
0.0258,0.06572,0.17624,-0.05116
0.0259,0.06253,0.20767,-0.06181
0.0259,0.06626,0.22844,-0.06714
0.0259,0.06040,0.24708,-0.07033
0.0274,0.04495,0.26306,-0.07406
0.0288,0.04122,0.27904,-0.06447
0.0310,0.03057,0.28650,-0.06074
0.0341,0.01832,0.28384,-0.04370
0.0422,0.00554,0.27372,-0.03464
0.0438,-0.00565,0.26253,-0.02666
0.0458,-0.01737,0.25134,-0.01707
0.0458,-0.02003,0.22365,-0.00801
0.0472,-0.02695,0.20767,0.01329
0.0492,-0.01843,0.18636,0.03193
0.0509,-0.01896,0.16346,0.04685
0.0551,-0.00831,0.15121,0.05377
0.0619,-0.00831,0.14908,0.06283
0.0636,-0.00458,0.14961,0.06496
0.0663,-0.00352,0.15920,0.06762
0.0663,-0.00671,0.17251,0.06442
0.0681,-0.01204,0.17784,0.06869
0.0708,-0.01417,0.19435,0.07135
0.0746,-0.02589,0.20820,0.07508
0.0746,-0.02802,0.22471,0.08094
0.0832,-0.03281,0.23590,0.08360
0.0859,-0.03548,0.25295,0.08573
0.0859,-0.04293,0.27212,0.08786
0.0871,-0.04826,0.29023,0.08466
0.0885,-0.04932,0.29822,0.08573
0.0898,-0.04666,0.31260,0.08999
0.0910,-0.04293,0.32272,0.09691
0.0934,-0.04027,0.33284,0.09745
0.1017,-0.02642,0.35361,0.10597
0.1032,-0.02109,0.36533,0.10330
0.1049,-0.01896,0.38557,0.10064
0.1049,-0.00831,0.40688,0.08573
0.1080,-0.00725,0.43298,0.07614
0.1095,-0.00458,0.44469,0.06389
0.1108,0.00980,0.46121,0.05697
0.1131,0.01619,0.47825,0.05430
0.1214,0.01566,0.49316,0.05537
0.1230,0.01939,0.50861,0.05803
0.1259,0.01619,0.52672,0.07348
0.1259,0.00873,0.53897,0.06868
0.1273,-0.00139,0.55122,0.07987
0.1286,-0.00778,0.56507,0.07721
0.1304,-0.01683,0.58211,0.08626
0.1331,-0.01843,0.59277,0.09904
0.1413,-0.02482,0.60395,0.11769
0.1429,-0.03015,0.61727,0.11449
0.1458,-0.03974,0.63910,0.13473
0.1458,-0.04133,0.66893,0.14272
0.1471,-0.04133,0.68438,0.14645
0.1483,-0.04453,0.70888,0.16615
0.1504,-0.04666,0.73924,0.17468
0.1530,-0.04666,0.77706,0.18480
0.1612,-0.04826,0.81860,0.19119
0.1628,-0.04826,0.86068,0.19705
0.1646,-0.04773,0.90968,0.20344
0.1646,-0.04613,0.96028,0.21143
0.1665,-0.04613,1.00609,0.20717
0.1702,-0.04133,1.05722,0.20504
0.1715,-0.04240,1.09610,0.19545
0.1732,-0.03761,1.13605,0.18533
0.1815,-0.03175,1.16641,0.18320
0.1833,-0.03175,1.19677,0.19172
0.1833,-0.02216,1.23618,0.19066
0.1850,-0.03015,1.27081,0.19651
0.1863,-0.02908,1.30276,0.21036
0.1921,-0.02695,1.34165,0.20024
0.1921,-0.03707,1.38426,0.21036
0.1937,-0.04773,1.40929,0.21143
0.2016,-0.04080,1.42740,0.20930
0.2032,-0.04560,1.44871,0.21090
0.2033,-0.03974,1.46522,0.20557
0.2050,-0.03441,1.47534,0.19545
0.2075,-0.03441,1.48919,0.19651
0.2091,-0.02695,1.50463,0.19598
0.2107,-0.02482,1.52594,0.20610
0.2130,-0.01790,1.54511,0.22261
0.2216,-0.02109,1.56801,0.23753
0.2231,-0.01257,1.58346,0.25138
0.2248,-0.01044,1.61435,0.26150
0.2248,-0.00298,1.64951,0.26949
0.2261,-0.00139,1.67028,0.28759
0.2279,0.00074,1.70384,0.29345
0.2301,0.00980,1.73313,0.31742
