time,X_value,Y_value,Z_value
Started:,Apr 22 2020,11:44:50:853, 
0.0047,0.07822,0.49939,0.04977
0.0047,0.10895,0.52835,0.26792
0.0047,0.17194,0.24188,0.53174
0.0047,-0.07275,-0.00586,0.73563
0.0257,-0.06055,-0.09339,0.61366
0.0257,-0.01838,-0.35536,0.18987
0.0257,-0.21380,-0.34602,0.08518
0.0257,-0.05497,-0.54963,-0.09710
0.0410,0.05107,-0.64893,-0.46969
0.0410,-0.01689,-0.43768,-0.51368
0.0410,-0.13775,-0.19698,-0.55991
0.0410,-0.19454,0.14547,-0.47775
0.0607,-0.04265,0.38047,-0.28419
0.0607,0.10169,0.32796,-0.08581
0.0607,-0.18306,0.57943,0.19581
0.0607,-0.07675,0.54565,0.35760
0.0806,0.24728,0.28531,0.18421
0.0806,0.41922,0.21788,0.00508
0.0806,0.42159,0.17059,-0.19221
0.0806,0.41297,0.10535,-0.32759
0.1004,0.39448,0.08575,-0.23962
0.1004,0.50800,0.02478,-0.20789
0.1004,0.44662,-0.05787,-0.03168
0.1004,0.40307,-0.05910,0.01343
0.1201,0.31503,-0.21317,0.16325
0.1201,0.31968,-0.24165,0.12156
0.1201,0.39485,-0.43415,0.01647
0.1201,0.25239,-0.42045,0.11314
0.1400,0.11037,-0.22981,-0.07900
0.1400,-0.00318,-0.02123,-0.26228
0.1400,0.10136,0.01221,-0.44599
0.1400,0.07540,0.08475,-0.47529
0.1600,0.10759,0.09992,-0.39098
0.1600,0.16582,0.04560,-0.40786
0.1600,0.23954,0.07154,-0.43097
0.1600,0.37047,0.01581,-0.48259
0.1803,0.50631,-0.00022,-0.51464
0.1803,0.63003,0.01814,-0.62613
0.1803,0.84327,-0.18473,-0.65513
0.1803,0.94519,-0.49005,-0.51024
0.2005,0.89035,-0.55718,-0.46591
0.2005,0.74271,-0.48082,-0.37107
0.2005,0.78151,-0.40144,-0.48676
0.2005,0.98152,-0.09641,-0.61915
0.2200,1.28686,0.06535,-0.50932
0.2200,1.38589,-0.18557,-0.44827
0.2200,1.22736,-0.29117,-0.40475
0.2200,0.89588,-0.28556,-0.34372
0.2399,0.67095,-0.25133,-0.40984
