time,X_value,Y_value,Z_value
Started:,Apr 14 2020,14:54:22:499, 
0.0036,-0.00302,-0.10370,-0.01016
0.0143,0.00497,-0.09198,0.00316
0.0162,0.00763,-0.08825,0.01594
0.0163,0.01136,-0.06961,0.02180
0.0163,0.00923,-0.05416,0.03458
0.0166,0.01615,-0.04244,0.04257
0.0179,0.01296,-0.02274,0.04950
0.0195,0.01828,-0.01422,0.06388
0.0225,0.01668,0.01082,0.07773
0.0314,0.01455,0.01881,0.08518
0.0328,0.01828,0.04171,0.08785
0.0328,0.01509,0.06089,0.09584
0.0345,0.01402,0.07260,0.10755
0.0360,0.00976,0.09284,0.11395
0.0373,0.00816,0.11681,0.11980
0.0394,0.00550,0.14131,0.12620
0.0415,0.00017,0.15623,0.12779
0.0508,-0.00569,0.16954,0.13632
0.0520,-0.00782,0.18659,0.14644
0.0539,-0.01794,0.20150,0.14377
0.0539,-0.02060,0.21269,0.15016
0.0566,-0.02912,0.20896,0.14537
0.0580,-0.02806,0.21428,0.15443
0.0591,-0.03019,0.21961,0.15709
0.0611,-0.02965,0.22600,0.15922
0.0704,-0.03178,0.22653,0.16348
0.0716,-0.03498,0.23186,0.16614
0.0736,-0.03232,0.24464,0.16135
0.0736,-0.03764,0.25423,0.16295
0.0762,-0.03871,0.27767,0.15656
0.0776,-0.04404,0.30004,0.15389
0.0795,-0.04137,0.32347,0.14910
0.0810,-0.03498,0.33839,0.14750
0.0891,-0.02433,0.35330,0.14377
0.0929,-0.02380,0.34212,0.14271
0.0953,-0.01101,0.32880,0.14697
0.0953,-0.00356,0.30270,0.13951
0.0953,-0.00142,0.29258,0.14484
0.0966,0.00284,0.27927,0.15496
0.0999,0.00497,0.28140,0.15656
0.1016,-0.00036,0.28885,0.16295
0.1106,0.00124,0.29311,0.16561
0.1119,0.00177,0.29311,0.17839
0.1134,0.01029,0.29844,0.18425
0.1134,0.01242,0.29684,0.18745
0.1152,0.01189,0.29524,0.19863
0.1168,0.01189,0.29897,0.20769
0.1189,0.01722,0.31495,0.20769
0.1219,0.00763,0.33146,0.21408
0.1290,0.00337,0.36236,0.21887
0.1318,0.00124,0.39218,0.22420
0.1334,-0.01368,0.43107,0.22207
0.1334,-0.02113,0.48060,0.21941
0.1348,-0.02007,0.51362,0.22260
0.1362,-0.02806,0.55570,0.22846
0.1383,-0.02912,0.59352,0.22420
0.1418,-0.03285,0.63773,0.22793
0.1491,-0.04137,0.67554,0.22154
0.1526,-0.05682,0.71070,0.22420
0.1544,-0.06268,0.75224,0.22633
0.1544,-0.06694,0.78686,0.23379
0.1558,-0.07333,0.83640,0.23645
0.1568,-0.08185,0.88220,0.25456
0.1587,-0.07546,0.92748,0.26308
0.1610,-0.07493,0.97328,0.26841
0.1697,-0.08025,1.02495,0.26095
0.1720,-0.07919,1.08088,0.27320
0.1734,-0.07866,1.14639,0.28332
0.1734,-0.08558,1.20498,0.29451
0.1748,-0.09410,1.27475,0.30782
0.1766,-0.09570,1.36530,0.31688
0.1788,-0.10103,1.45265,0.32380
0.1806,-0.11061,1.54906,0.32753
0.1886,-0.11328,1.65718,0.32487
0.1915,-0.11967,1.76478,0.33073
0.1932,-0.12446,1.87397,0.33818
0.1932,-0.13831,1.97304,0.32966
0.1970,-0.16334,2.06838,0.31528
0.1970,-0.18092,2.16691,0.29504
0.1987,-0.19637,2.26279,0.28705
0.2014,-0.22566,2.34321,0.27800
0.2092,-0.25336,2.41725,0.25989
0.2109,-0.26881,2.48543,0.25829
0.2140,-0.29277,2.54508,0.24657
0.2142,-0.32100,2.59408,0.24551
0.2156,-0.34764,2.63084,0.24071
0.2172,-0.37054,2.67291,0.24710
0.2189,-0.40090,2.70487,0.24764
0.2210,-0.42753,2.71925,0.25030
0.2292,-0.44937,2.72937,0.26362
0.2308,-0.47280,2.73310,0.26415
0.2322,-0.49624,2.73843,0.27853
0.2322,-0.51169,2.73683,0.30090
0.2333,-0.52607,2.73097,0.33179
0.2353,-0.51808,2.84975,0.48839
0.2376,-0.54524,2.95681,0.74192
0.2404,-0.59957,2.96480,0.88040
0.2482,-0.58040,3.12033,1.07588
0.2513,-0.53139,3.48944,1.33527
0.2529,-0.54098,3.66468,1.47961
0.2529,-0.59211,3.78239,1.49932
0.2542,-0.64378,3.88519,1.45937
0.2556,-0.67467,3.93472,1.36510
0.2578,-0.69544,3.98266,1.26124
0.2603,-0.71089,3.96987,1.15471
