time,X_value,Y_value,Z_value
Started:,Apr 14 2020,14:54:22:499, 
0.0081,-0.48317,-0.46845,0.64611
0.0081,-0.16766,-0.12548,0.38133
0.0081,-0.18752,-0.14194,-0.04971
0.0081,-0.39314,-0.16654,-0.12073
0.0308,-0.33566,-0.19760,-0.21740
0.0308,-0.29824,-0.19646,-0.24551
0.0308,-0.06906,-0.14322,-0.26873
0.0308,0.03851,-0.04153,-0.26069
0.0484,0.15072,0.01957,-0.26952
0.0484,0.29454,0.06563,-0.20035
0.0484,0.45455,0.10330,-0.29293
0.0484,0.53689,0.07730,-0.31358
0.0678,0.59377,0.08602,-0.46907
0.0678,0.63793,0.08242,-0.35231
0.0678,0.50845,0.04228,-0.34916
0.0678,0.24475,0.00865,-0.30072
0.0875,0.11725,0.07848,-0.35365
0.0875,0.07472,-0.01811,-0.29952
0.0875,0.19800,-0.08749,-0.31463
0.0875,0.22733,-0.33663,-0.08246
0.1077,-0.01507,-0.16165,0.20222
0.1077,-0.21502,0.09304,0.22085
0.1077,-0.49547,0.20858,0.18668
0.1077,-0.45117,0.23215,0.08826
0.1282,-0.21708,0.17436,0.08921
0.1283,-0.05916,0.27646,0.10236
0.1283,0.08448,0.31191,-0.04049
0.1283,0.21887,0.34939,-0.15612
0.1490,0.60408,0.38412,-0.40304
0.1491,0.89971,0.33968,-0.47115
0.1491,1.18595,0.19281,-0.41492
0.1491,1.37553,0.12569,-0.48037
0.1675,1.59971,-0.06411,-0.53193
0.1676,1.65322,-0.21461,-0.62162
0.1676,1.66261,-0.30875,-0.67993
0.1676,1.76656,-0.48194,-0.76125
0.1870,1.83771,-0.77051,-0.90294
0.1870,1.88246,-0.78014,-1.14585
0.1870,2.19446,-0.74176,-1.32543
0.1870,2.58696,-0.82435,-1.32194
0.2073,3.13331,-0.93348,-1.11354
0.2073,3.41897,-0.84946,-1.09554
0.2073,4.08422,-1.11153,-0.92704
0.2073,4.00352,-0.95271,-0.82954
0.2266,3.83688,-1.02465,-0.57498
0.2266,3.38666,-0.93297,-0.43572
0.2266,2.76138,-0.81454,-0.23062
0.2266,2.06427,-0.69984,-0.21338
0.2470,1.50100,-0.42285,-0.04243
0.2470,0.71238,-0.24895,0.17611
0.2471,-0.18527,0.04809,0.26107
0.2471,-2.75455,2.52757,-1.06843
0.2679,-2.13051,2.39087,-0.22853
0.2680,0.73250,1.38750,-1.54823
0.2680,2.38053,-0.02123,-1.37191
0.2680,2.06829,-0.29315,-0.49439
0.2878,0.75479,0.26311,0.15194
0.2878,-1.99451,3.18945,1.35622
0.2878,-1.19303,3.44787,0.32824
0.2878,0.64419,2.77977,0.34172
0.3067,2.02031,2.54502,-0.48839
0.3067,3.42238,1.62752,-0.66745
0.3067,4.81206,1.06311,-1.28285
0.3067,5.28704,0.52475,-1.22028
0.3265,5.01491,-0.02663,-1.14546
0.3265,4.59106,-0.37284,-1.05803
0.3265,4.00169,-0.46661,-0.99157
0.3266,3.11981,-0.40794,-1.21021
0.3469,2.29435,-0.16807,-1.24783
0.3469,1.45356,0.15933,-1.19924
0.3469,0.59289,0.35621,-1.09366
0.3469,-0.11394,0.64491,-0.82648
0.3665,-0.78036,0.83039,-0.67294
0.3665,-0.96656,0.78600,-0.51964
0.3665,-1.53542,0.73388,-0.28257
0.3665,-1.39929,0.50246,-0.00772
0.3864,-1.05178,0.18293,0.30812
0.3865,-0.57923,-0.13534,0.45648
0.3865,-0.12891,-0.45724,0.56808
0.3865,0.39273,-0.59686,0.70733
0.4082,0.84190,-0.60990,0.54114
0.4082,1.14316,-0.37189,0.46844
0.4082,1.27865,-0.04046,0.15440
0.4082,1.28056,0.40834,-0.23554
0.4263,1.14040,0.82446,-0.58757
0.4263,0.78791,1.40829,-1.09147
0.4263,0.37026,1.85257,-1.45655
0.4263,-0.11838,2.22818,-1.85501
0.4462,-0.62705,2.43631,-2.15761
0.4462,-1.05530,2.44986,-2.20771
0.4462,-1.55142,2.26111,-2.18773
0.4462,-1.71794,1.79618,-1.98357
0.4670,-1.70306,1.12332,-1.85190
0.4670,-1.56966,0.41783,-1.53577
0.4670,-1.29892,-0.27867,-1.11001
0.4670,-0.84399,-0.71997,-0.63457
0.5073,-0.33098,-1.07342,-0.19766
0.5073,0.02651,-1.08512,0.12293
0.5073,0.37305,-0.94729,0.31011
0.5073,0.79737,-0.54742,0.22899
0.5259,1.03982,-0.00985,0.03176
0.5260,1.00905,0.58993,-0.30030
0.5260,0.88710,1.47067,-0.71610
0.5260,0.56277,2.25540,-1.06337
0.5467,0.12094,2.93572,-1.44942
0.5467,-0.44035,3.41923,-1.73201
0.5467,-0.93119,3.57825,-1.92886
0.5467,-1.40853,3.33095,-2.24019
0.5663,-1.88605,2.87462,-2.44850
0.5663,-2.36982,2.00109,-2.51100
0.5663,-2.71587,1.15624,-2.36134
0.5663,-2.96080,0.19287,-1.90569
0.5863,-2.91834,-0.63121,-1.31361
0.5863,-2.62426,-1.21019,-0.66593
0.5863,-2.15848,-1.68968,-0.30282
0.5863,-1.49115,-1.86302,0.06007
0.6067,-0.87242,-1.87904,0.00289
0.6067,-0.21310,-1.58628,-0.22772
0.6067,0.19351,-1.02759,-0.52677
